"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"ME",5104,"Thermodynamics: Found/Applic",5,4,3,1,0,2.95,13
"ME",5135,"Vehicle Propulsion",12,6,1,0,0,3.56,19
"ME",5304,"Conduction Heat Transfer",13,2,3,0,0,3.57,18
"ME",5434,"Adv Intro Comp Fluid Dynamics",12,2,1,0,0,3.69,15
"ME",5514,"Vibrations Mech System",26,5,4,0,0,3.59,35
"ME",5554,"Applied Linear Systems",27,2,0,1,0,3.785,30
"ME",5634,"Fin Elem in Mach Des",19,3,0,0,0,3.82,22
"ME",5644,"Rapid Prototyping",11,3,0,0,0,3.7,14
"ME",5684,"Unified System Dynamics",17,0,0,0,0,3.88,17
"ME",5724,"Advanced Instrumentation",21,5,2,0,0,3.63,28
"ME",5735,"Advanced Mechatronics",21,0,0,0,0,3.97,21
"ME",5814,"Energy Harvesting",12,0,0,0,0,3.93,12
"ME",5864,"Advanced Micro/Nano-Robotics",7,5,0,0,0,3.51,12
"ME",5914,"Autonomous Systems Seminar",12,0,0,0,0,4,12
"ME",5984,"SS:Experimental Robotics",14,3,0,0,0,3.79,17
"MGT",1935,"Fund of Cadet Prof Leadership",44,1,1,0,0,3.92,46
"MGT",1945,"Fundamentals of Cadet Ldrshp",225,79,4,0,1,3.65,309
"MGT",1984,"SS:Foundations of Management",300,357,65,14,2,3.27,738
"MGT",2935,"Career Planning for Cadets",25,4,2,1,2,3.41,34
"MGT",2945,"Small Unit Lrdshp for Cadets",183,42,7,1,4,3.375,237
"MGT",3064,"Cornerstones Entrepreneurship",21,29,6,2,2,3.035,60
"MGT",3304,"Mgt Th & Lead Pract",309,475,132,20,11,3.03466666666667,947
"MGT",3314,"International Business",19,18,4,0,0,3.36,41
"MGT",3324,"Organization Behavior",31,43,6,0,1,3.255,81
"MGT",3334,"Managing Human Resources",13,14,5,0,0,3.27,32
"MGT",3344,"Employee & Labor Relations",15,31,6,0,1,3.03,53
"MGT",3604,"Managerial Analytics",27,23,10,0,0,3.235,60
"MGT",3614,"Strategy Competition Analytics",10,24,1,0,0,3.24,35
"MGT",3935,"Adv Professional Dev for Cdts",48,1,3,1,0,3.77,53
"MGT",3945,"Cadet Organizational Ldrshp",174,29,3,0,0,3.8,206
"MGT",4064,"Developing Entrep Ventures",14,9,0,0,0,3.54,23
"MGT",4314,"International Management",38,37,6,0,0,3.385,81
"MGT",4334,"Ethical Leadership",24,59,10,0,1,3.07,94
"MGT",4344,"Prod and Qual Leader",33,30,4,0,1,3.395,68
"MGT",4354,"Leadership Skills",15,14,2,1,0,3.32,32
"MGT",4394,"Strategic Management",79,192,10,1,0,3.25571428571429,282
"MGT",4935,"Cadet Citizen Leader Practicum",42,22,5,1,1,3.35,71
"MGT",4945,"Executive Ldrshp for Cadets",188,32,3,1,0,3.79,224
"MGT",4964,"Field Study",15,7,0,0,0,3.57,22
"MGT",4984,"SS:Cadet Commander & Practicum",15,0,0,0,0,4,15
"MGT",4984,"SS:Career Planning for Mgt Maj",12,0,0,0,0,4,12
"MGT",5124,"Business Research Methods",8,2,0,0,0,3.77,10
"MGT",5314,"Organization Behavior",26,3,0,0,0,3.71,29
"MGT",5384,"Eth Dim Leadership",16,2,0,0,0,3.76,18
"MGT",5604,"Team Building",11,2,0,0,0,3.71,13
"MGT",5614,"Designing & Managing Orgs",37,6,0,0,0,3.745,43
"MGT",5674,"Change Management",10,11,0,0,0,3.43,21
"MGT",5794,"Strategic Management",9,4,0,0,0,3.6,13
"MGT",5804,"Leader Tech-Based Org",13,18,5,0,0,3.23,36
"MGT",5844,"Business & Corporate Strategy",13,9,0,0,0,3.48,22
"MINE",2504,"Intro to Mining Engng",17,22,15,5,3,2.79,62
"MINE",2534,"Mine Surveying and Mapping",38,14,0,1,1,3.555,54
"MINE",3504,"Rock Mech & Grnd Cntl",7,17,14,6,2,2.43,46
"MINE",3514,"Rock Mechanics Laboratory",2,24,14,4,0,2.5675,44
"MINE",3524,"Excavation Engineering",2,18,15,6,4,2.17,45
"MINE",3534,"Mineral Processing",6,17,13,3,0,2.7,39
"MINE",4504,"Matls Handling * Powr",15,35,7,1,0,3.07,58
"MINE",4514,"Health, Safety & Risk",16,47,1,0,0,3.28,64
"MINE",4524,"Project Engng & Mgmt",17,31,9,1,1,3.05,59
"MINE",4535,"Senior Design Project",43,18,0,1,0,3.67,62
"MINE",5944,"GS:Mining Engineering",15,1,0,0,0,3.94,16
"MKTG",3104,"Marketing Management",420,176,41,7,3,3.65,647
"MKTG",3504,"Advertising",43,22,5,0,0,3.51,70
"MKTG",3954,"Study Abroad",53,0,0,0,0,4,53
"MKTG",4154,"Marketing Research",28,35,4,0,2,3.20333333333333,69
"MKTG",4204,"Consumer Behavior",34,44,13,2,0,3.11666666666667,93
"MKTG",4304,"Marketing Communications",53,25,2,0,0,3.62,80
"MKTG",4354,"Mktg Chnl & Lgst",44,41,4,0,0,3.405,89
"MKTG",4404,"Field Practicum In Marketing",52,0,0,0,0,4,52
"MKTG",4554,"Buyer-Seller Relationships",107,25,2,0,0,3.7475,134
"MKTG",4644,"Mktg, Soc, & Pub Interests",89,36,2,0,0,3.64333333333333,127
"MKTG",4704,"International Marketing",31,30,1,0,0,3.475,62
"MKTG",4754,"Strategic Marketing",8,12,1,0,0,3.25,21
"MKTG",4774,"Advanced Professional Selling",26,11,0,0,0,3.73,37
"MKTG",4984,"SS:Non-Profit Orgnization Mktg",17,36,0,0,0,3.32,53
"MKTG",5104,"Marketing Policy And Strategy",13,13,0,0,0,3.44,26
"MKTG",5634,"Intl Marketing Management",30,2,0,0,0,3.77,32
"MKTG",5654,"Managing the Mktg Function",13,0,0,0,0,3.84,13
"MKTG",5674,"Marketing in Dynamic Contexts",11,11,0,0,0,3.5,22
"MN",1004,"Introduction to Naval Science",54,39,3,0,0,3.47,96
"MN",1104,"Nav Ships Syst: Engr",24,17,3,0,0,3.425,44
"MN",3006,"Navigation",24,0,0,0,0,3.885,24
"MN",3204,"Evolution of Warfare",14,4,0,0,0,3.68,18
"MN",4005,"Leadership &  Mgt/Ethics",43,34,0,0,0,3.535,77
"MS",1005,"MS I, AROTC",69,16,1,1,0,3.7675,87
"MS",2005,"MS II, AROTC",79,13,1,0,0,3.775,93
"MS",3005,"MS III, AROTC",65,5,1,0,0,3.87666666666667,71
"MS",4005,"MS IV, AROTC",80,0,1,0,0,3.95666666666667,81
"MSE",1004,"Materials In Today's World",51,24,8,3,4,3.24,90
"MSE",2014,"Materials Eng Transition",9,1,0,0,0,3.84,10
"MSE",2034,"Elem of Materials Eng",49,126,46,11,4,2.86333333333333,236
"MSE",2044,"Fund of Materials Engineering",29,29,6,0,1,3.3,65
"MSE",2884,"Matls Engr Professional Dev I",77,4,0,0,0,3.91,81
"MSE",3114,"Math Programming MSE II",50,5,0,0,1,3.83,56
"MSE",3134,"Crystallography & Cryst Struc",51,23,1,0,0,3.55,75
"MSE",3204,"Electronic Materials",14,49,8,1,0,3.06,72
"MSE",4034,"Thermo of Materials",17,25,27,7,1,2.64,77
"MSE",4055,"Materials Selection & Design",20,29,4,0,0,3.3,53
"MSE",4085,"Senior Design Recitation",10,37,5,1,0,3.08,53
"MSE",4414,"Physical Ceramics",34,32,15,1,0,3.23,82
"MSE",4424,"Materials Laboratory II",39,26,12,2,0,3.25285714285714,79
"MSE",4584,"Biomimetic Materials",9,8,2,1,0,3.24,20
